UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temperature_Difference,Wear_Torque_Index,AirTemp_RollingMean,ProcessTemp_RollingMean,Torque_RollingMean,ToolWear_RollingMean,Torque_Lag1,ToolWear_Lag1,AirTemp_Change,ProcessTemp_Change,Torque_Change,ToolWear_Change,AirTemp_RollingStd,ProcessTemp_RollingStd,Torque_RollingStd,ToolWear_RollingStd,Ambient_Humidity,Energy_Load_Index,Production_Demand,Shift,Days_Since_Maintenance,Production_Demand_Value,Torque_Load,Wear_Demand,Temperature_Humidity
28,L20247,L,300.2,309.0,1780,38.2,96,0,0,0,0,0,0,8.800000000000011,3667.2,299.3,309.34,37.39,118.9,37.0,89.0,-3.1999999999999886,-4.0,1.2000000000000028,7.0,2.5451478891761314,2.413940991638156,8.563806266945658,65.08703574616244,31,0.6,Medium,Night,115,2,22.92,192,9579.0
29,L79051,L,299.4,309.7,1640,51.8,127,0,0,0,0,0,0,10.300000000000011,6578.599999999999,299.39,309.42,38.41,127.1,38.2,96.0,-0.8000000000000114,0.6999999999999886,13.599999999999994,31.0,2.5295805537238194,2.410993340697728,9.658439027319288,59.68333100623661,89,0.96,Medium,Night,16,2,49.727999999999994,254,27563.3
30,L69719,L,299.2,310.4,1378,29.8,139,0,0,0,0,0,0,11.199999999999989,4142.2,299.67,309.84000000000003,37.97,133.0,51.8,127.0,-0.1999999999999886,0.6999999999999886,-22.0,12.0,2.307018277633097,2.1381196307867083,9.96683946338501,57.38176249181154,50,0.61,High,Day,179,3,18.178,417,15519.999999999998
31,M44678,M,297.0,307.3,1364,44.7,204,0,0,0,0,0,0,10.300000000000011,9118.8,299.14,309.27,38.24,138.0,29.8,139.0,-2.1999999999999886,-3.099999999999966,14.900000000000002,65.0,2.243608205052245,1.9539418847265468,10.123482053566788,61.44916598294888,62,0.99,High,Day,159,3,44.253,612,19052.600000000002
32,L97802,L,297.4,307.7,1775,40.8,212,0,0,0,0,0,0,10.300000000000011,8649.599999999999,298.88,309.05000000000007,38.9,143.9,44.7,204.0,0.3999999999999772,0.3999999999999772,-3.9000000000000057,8.0,2.2831751770043685,1.9984716382497671,10.045673474464293,65.73253887281905,41,0.69,High,Day,160,3,28.151999999999997,636,12615.699999999999
33,L86286,L,302.6,312.5,1765,21.1,179,0,0,0,0,0,0,9.899999999999975,3776.9,299.59000000000003,309.69,35.31,137.3,40.8,212.0,5.2000000000000455,4.800000000000011,-19.7,-33.0,2.2183327072375447,1.9734065301739607,9.241145912589934,57.21509124930824,87,0.51,High,Day,45,3,10.761000000000001,537,27187.5
34,H39583,H,299.1,309.8,1526,32.7,164,0,0,0,0,0,0,10.699999999999989,5362.8,299.42,309.61,35.58,147.6,21.1,179.0,-3.5,-2.6999999999999886,11.6,-15.0,2.1801121275954563,1.9484751873081267,9.107237659014816,50.87282618888442,51,0.93,Medium,Day,27,2,30.411000000000005,328,15799.800000000001
35,H18076,H,300.0,309.9,1957,32.3,152,0,0,0,0,0,0,9.899999999999975,4909.599999999999,299.53,309.69,35.34,143.3,32.7,164.0,0.8999999999999773,0.0999999999999659,-0.4000000000000057,-12.0,2.1787101178857275,1.9416201711170964,9.164448216401846,48.166493655975344,90,0.68,Medium,Night,22,2,21.964,304,27890.999999999996
36,M28006,M,295.9,305.5,1620,56.7,38,0,0,0,0,0,0,9.600000000000025,2154.6,299.42,309.48,38.510000000000005,140.0,32.3,152.0,-4.100000000000023,-4.399999999999977,24.40000000000001,-114.0,2.342268605907984,2.2773278688458785,10.565820155366808,54.39771237020095,73,0.83,Medium,Day,143,2,47.061,76,22301.5
37,L25051,L,297.4,308.5,1339,45.3,194,0,0,0,0,0,0,11.100000000000025,8788.199999999999,298.82000000000005,309.03000000000003,39.34,150.5,56.7,38.0,1.5,3.0,-11.400000000000006,156.0,1.9441079073846887,1.92125537662802,10.758273302182111,53.58741560395604,54,0.99,Medium,Day,8,2,44.846999999999994,388,16659.0
38,L14314,L,301.2,310.7,1488,41.3,146,0,0,0,0,0,0,9.5,6029.799999999999,298.92,309.2,39.65,155.5,45.3,194.0,3.8000000000000114,2.1999999999999886,-4.0,-48.0,2.0460259583451763,1.992207039664488,10.76643446602036,50.16029859914666,78,0.43,High,Night,116,3,17.758999999999997,438,24234.6
39,M38670,M,300.8,311.6,1538,2.9,70,0,0,0,0,0,0,10.800000000000011,203.0,299.06000000000006,309.39,34.760000000000005,149.8,41.3,146.0,-0.3999999999999772,0.9000000000000341,-38.4,-76.0,2.128745065891068,2.1309622239729804,14.9334226187807,56.5858246874211,56,0.46,Medium,Day,136,2,1.334,140,17449.600000000002
40,L77551,L,303.5,314.6,1553,20.9,208,0,0,0,0,0,0,11.100000000000025,4347.2,299.49,309.81,33.87,156.7,2.9,70.0,2.6999999999999886,3.0,18.0,138.0,2.552319206786862,2.692149079576866,15.515730369173369,59.26597299931517,88,0.83,High,Day,87,3,17.346999999999998,624,27684.800000000003
41,L20236,L,302.7,313.3,1761,47.1,76,0,0,0,0,0,0,10.600000000000025,3579.6,300.06,310.41,34.11,143.9,20.9,208.0,-0.8000000000000114,-1.3000000000000114,26.200000000000003,-132.0,2.5708623715268795,2.738795355626246,15.719093131885462,61.68819444053566,71,0.57,Medium,Day,117,2,26.846999999999998,152,22244.3
42,L45568,L,299.5,308.3,1366,47.7,23,0,0,0,0,0,0,8.800000000000011,1097.1,300.27,310.47,34.8,125.0,47.1,76.0,-3.1999999999999886,-5.0,0.6000000000000014,-53.0,2.410186714758704,2.6787434865374,16.189777295839765,67.2111101926857,57,0.51,High,Day,16,3,24.327,69,17573.100000000002
43,L70314,L,300.9,311.0,1299,32.5,178,0,0,0,0,0,0,10.100000000000025,5785.0,300.1,310.32,35.94,124.9,47.7,23.0,1.3999999999999773,2.6999999999999886,-15.200000000000005,155.0,2.284245559868119,2.593067681338049,15.504780624769316,67.12252478366216,89,0.42,Medium,Night,176,2,13.65,356,27679.0
44,H26352,H,299.4,309.2,1645,40.2,44,0,0,0,0,0,0,9.800000000000011,1768.8000000000002,300.13,310.26000000000005,36.69,112.9,32.5,178.0,-1.5,-1.8000000000000114,7.700000000000003,-134.0,2.271587795157946,2.6132993195065177,15.512034754416394,70.01975911602864,45,0.41,Medium,Day,162,2,16.482,88,13914.0
45,L55650,L,304.1,313.6,1447,39.5,7,0,0,0,0,0,0,9.5,276.5,300.54,310.63,37.41,98.4,40.2,44.0,4.7000000000000455,4.400000000000034,-0.7000000000000028,-37.0,2.5928105728467576,2.811108915238468,15.452612148831731,75.79827028222869,44,0.86,Medium,Night,113,2,33.97,14,13798.400000000001
46,M20346,M,302.3,312.4,1971,41.6,199,0,0,0,0,0,0,10.099999999999966,8278.4,301.17999999999995,311.32,35.9,114.5,39.5,7.0,-1.8000000000000114,-1.2000000000000457,2.1000000000000014,192.0,2.0541556794835505,2.190281564852592,14.030522283776731,78.59071191941202,76,0.48,Medium,Day,57,2,19.968,398,23742.399999999998
47,L35156,L,300.3,311.1,1706,36.2,172,0,0,0,0,0,0,10.800000000000011,6226.400000000001,301.47,311.58000000000004,34.989999999999995,112.3,41.6,199.0,-2.0,-1.2999999999999543,-5.399999999999999,-27.0,1.6200480102621633,1.960612149304333,13.642861381201032,76.3952441800754,80,0.68,High,Night,133,3,24.616000000000003,516,24888.0
48,L65904,L,300.4,309.9,1443,48.0,129,0,0,0,0,0,0,9.5,6192.0,301.39,311.5,35.66,110.6,36.2,172.0,0.0999999999999659,-1.2000000000000457,11.799999999999995,-43.0,1.654253776043578,2.016046736671599,14.142544168414515,75.7484139914641,73,0.76,Low,Night,44,1,36.480000000000004,129,22622.699999999997
49,L24035,L,302.9,312.7,1755,50.9,157,0,0,0,0,0,0,9.800000000000011,7991.3,301.6,311.61,40.46,119.3,48.0,129.0,2.5,2.800000000000012,2.8999999999999986,28.0,1.7035909785570569,2.051801376568561,8.998419614329807,75.56314504365801,84,0.66,Medium,Day,71,2,33.594,314,26266.8
50,L26108,L,301.2,310.9,1668,30.3,66,0,0,0,0,0,0,9.699999999999989,1999.8,301.37,311.24,41.400000000000006,105.1,50.9,157.0,-1.6999999999999886,-1.8000000000000114,-20.6,-91.0,1.5684741346640054,1.7664779773448036,6.99634825383133,70.19409598471316,81,0.42,Medium,Night,37,2,12.725999999999999,132,25182.899999999998
51,H12853,H,303.1,314.3,1651,28.0,172,0,0,0,0,0,0,11.199999999999989,4816.0,301.41,311.34000000000003,39.49,114.7,30.3,66.0,1.900000000000034,3.400000000000034,-2.3000000000000007,106.0,1.6106934324483426,1.9178691879849257,7.825378940061329,72.30498676516801,86,0.87,High,Night,124,3,24.36,516,27029.8
52,M94156,M,295.6,305.4,1516,32.0,153,0,0,0,0,0,0,9.799999999999956,4896.0,301.02,311.05,37.92,127.7,28.0,172.0,-7.5,-8.900000000000034,4.0,-19.0,2.402221194366935,2.5452570269686148,7.565829615962653,65.3368196348736,32,0.41,Medium,Night,28,2,13.12,306,9772.8
53,H14176,H,300.9,309.7,1613,40.4,16,0,0,0,0,0,0,8.800000000000011,646.4,301.02,310.92,38.71,111.5,32.0,153.0,5.2999999999999545,4.300000000000011,8.399999999999999,-137.0,2.402221194366935,2.5810419945784595,7.346268894252815,71.29165449055037,66,0.86,Low,Day,68,1,34.744,16,20440.2
54,M35920,M,299.0,307.4,1161,43.4,37,1,0,1,0,0,0,8.399999999999977,1605.8,300.98,310.74,39.03,110.8,40.4,16.0,-1.8999999999999773,-2.300000000000012,3.0,21.0,2.435296012123723,2.770158439110938,7.4867364199778015,72.05830972205781,80,0.94,Medium,Night,113,2,40.796,74,24592.0
55,L64850,L,303.5,313.9,1773,47.8,66,0,0,0,0,0,0,10.399999999999975,3154.8,300.92,310.77,39.86,116.7,43.4,37.0,4.5,6.5,4.399999999999999,29.0,2.355985285748983,2.805965866585729,7.987935347203989,64.64956818623521,36,0.66,Medium,Night,166,2,31.548,132,11300.4
56,H16829,H,303.1,312.3,922,49.6,56,0,0,0,0,0,0,9.199999999999989,2777.6,301.0,310.76000000000005,40.66,102.4,47.8,66.0,-0.3999999999999772,-1.599999999999966,1.8000000000000045,-10.0,2.42074368738184,2.79968252168384,8.561567873026776,60.07624784850972,50,0.72,Low,Night,46,1,35.711999999999996,56,15615.0
57,L83927,L,300.1,310.7,1458,43.5,160,0,0,0,0,0,0,10.599999999999966,6960.0,300.98,310.72,41.39,101.2,49.6,56.0,-3.0,-1.6000000000000227,-6.100000000000001,104.0,2.427984989885675,2.797141397927491,8.449516751467693,58.634081859918034,38,0.69,Medium,Day,100,2,30.014999999999997,320,11806.6
58,L94860,L,303.1,311.7,1252,42.2,93,0,0,0,0,0,0,8.599999999999966,3924.6,301.25,310.9,40.81,97.6,43.5,160.0,3.0,1.0,-1.2999999999999972,-67.0,2.5052167792648348,2.79642629082187,8.138720893222569,57.83731974733589,68,0.63,High,Day,26,3,26.586000000000002,279,21195.6
59,L50667,L,303.6,313.0,1448,56.3,206,1,0,0,0,1,0,9.399999999999975,11597.8,301.32000000000005,310.92999999999995,41.35,102.5,42.2,93.0,0.5,1.3000000000000114,14.099999999999994,113.0,2.565497569240077,2.819397098671941,9.014586944379516,65.05425086460967,47,0.93,High,Night,75,3,52.359,618,14711.0
60,L75842,L,300.1,308.8,1524,39.9,71,0,0,0,0,0,0,8.699999999999989,2832.9,301.21,310.72,42.31,103.0,56.3,206.0,-3.5,-4.199999999999989,-16.4,-135.0,2.59463120907579,2.898965332666081,8.179574832743098,64.76109943476881,33,0.94,Low,Night,112,1,37.50599999999999,71,10190.4
61,L45843,L,304.9,315.4,1323,45.8,93,0,0,0,0,0,0,10.5,4259.4,301.39,310.83000000000004,44.09,95.1,39.9,71.0,4.7999999999999545,6.599999999999966,5.899999999999999,22.0,2.795015404449504,3.0659600635218367,6.479617615603895,60.056362416206014,54,0.6,High,Day,63,3,27.479999999999997,279,17031.6
62,L60808,L,299.9,310.6,1041,43.1,63,0,0,0,0,0,0,10.700000000000044,2715.3,301.82000000000005,311.35,45.2,86.1,45.8,93.0,-5.0,-4.7999999999999545,-2.699999999999996,-30.0,2.031857387821129,2.414424246988104,4.948175870403591,57.08560822717653,89,0.77,Medium,Night,112,2,33.187000000000005,126,27643.4
63,M40543,M,299.6,309.9,1575,38.2,22,0,0,0,0,0,0,10.299999999999956,840.4000000000001,301.69,311.37,44.98,86.7,43.1,63.0,-0.2999999999999545,-0.7000000000000455,-4.899999999999999,-41.0,2.136169989074156,2.4000231480364382,5.226386046888519,56.29298357699668,43,0.96,Low,Day,166,1,36.672000000000004,22,13325.699999999999
64,L82780,L,301.7,310.6,1911,38.2,11,0,0,0,0,0,0,8.900000000000034,420.2000000000001,301.96000000000004,311.69,44.46,84.1,38.2,22.0,2.099999999999966,0.7000000000000455,0.0,-11.0,1.917869187984689,1.9902261178066047,5.64312758041928,59.36038709068173,79,0.98,Low,Night,143,1,37.436,11,24537.4
65,L16611,L,299.3,308.5,1475,53.1,102,0,0,0,0,0,0,9.199999999999989,5416.2,301.54,311.15,44.99,87.7,38.2,11.0,-2.3999999999999773,-2.1000000000000227,14.9,91.0,2.0012218489932008,2.05548047910936,6.211897187387002,59.232217209518446,87,0.71,Low,Night,99,1,37.701,102,26839.5
66,L98242,L,300.2,310.4,1709,39.0,239,0,0,0,0,0,0,10.199999999999989,9321.0,301.25,310.96,43.93,106.0,53.1,102.0,0.8999999999999773,1.8999999999999773,-14.1,137.0,1.959733541978212,2.024955417890507,6.242159526602587,74.62052145504101,38,0.67,High,Day,9,3,26.130000000000003,717,11795.199999999999
67,L94612,L,302.8,311.1,1807,36.4,7,0,0,0,0,0,0,8.300000000000011,254.8,301.52,311.0,43.22,90.7,39.0,239.0,2.6000000000000227,0.7000000000000455,-2.6000000000000014,-232.0,1.969658740887475,2.0231987873990542,6.684609188277194,77.93023945954637,55,0.57,Low,Day,75,1,20.747999999999998,7,17110.5
68,M56902,M,300.0,309.8,1197,32.6,200,0,0,0,0,0,0,9.800000000000011,6520.0,301.21,310.81000000000006,42.260000000000005,101.4,36.4,7.0,-2.800000000000012,-1.3000000000000114,-3.799999999999997,193.0,1.9370366829541568,2.0393081615531945,7.488391015431811,85.28019178631767,82,0.98,Low,Night,22,1,31.948,200,25403.600000000002
69,L43043,L,296.6,308.1,1456,44.1,199,0,0,0,0,0,0,11.5,8775.9,300.51,310.32000000000005,41.04,100.7,32.6,200.0,-3.3999999999999773,-1.6999999999999886,11.5,-1.0,2.2213359343720165,2.043308863366194,5.735503465259163,84.34986662704343,31,0.49,Medium,Day,37,2,21.609,398,9551.1
70,H15271,H,300.7,310.6,1309,34.8,37,0,0,0,0,0,0,9.900000000000034,1287.6,300.57000000000005,310.5,40.53,97.3,44.1,199.0,4.099999999999966,2.5,-9.300000000000004,-162.0,2.217130277332778,1.972589950068395,6.065393639327944,86.34176278024451,49,0.75,Medium,Night,57,2,26.099999999999998,74,15219.400000000001
71,M82867,M,298.6,307.1,1393,43.2,32,0,0,0,0,0,0,8.5,1382.4,299.94,309.67,40.27,91.2,34.8,37.0,-2.099999999999966,-3.5,8.400000000000006,-5.0,1.680079363204576,1.3199747472331396,5.866865526932673,88.79914914507293,57,0.57,Medium,Night,114,2,24.624,64,17504.7
72,L87089,L,301.7,311.1,1842,41.7,175,0,0,0,0,0,0,9.400000000000034,7297.500000000001,300.12,309.72,40.13000000000001,102.4,43.2,32.0,3.099999999999966,4.0,-1.5,143.0,1.7693690024033548,1.367723168870999,5.808241271389004,91.85761929324228,76,0.57,Medium,Day,140,2,23.769,350,23643.600000000002
73,L68745,L,301.4,310.8,1578,35.6,96,0,0,0,0,0,0,9.400000000000034,3417.6000000000004,300.3,309.81,39.87,109.8,41.7,175.0,-0.3000000000000113,-0.3000000000000113,-6.100000000000001,-79.0,1.8018509002317007,1.4098463273231308,5.960434361502327,87.54021298174287,89,0.64,Low,Night,135,1,22.784000000000002,96,27661.2
74,M72077,M,302.9,315.1,1679,26.0,44,0,0,0,0,0,0,12.200000000000044,1144.0,300.42,310.26,38.65,113.1,35.6,96.0,1.5,4.300000000000011,-9.6,-52.0,1.940103090044212,2.19149872613846,7.412039755245056,83.95031599437591,36,1.0,High,Night,103,3,26.0,132,11343.6
75,M69119,M,301.8,313.5,1530,29.6,74,0,0,0,0,0,0,11.699999999999989,2190.4,300.67,310.76,36.3,110.3,26.0,44.0,-1.099999999999966,-1.6000000000000227,3.6000000000000014,30.0,1.940818842081053,2.3123821291280704,5.890859209166524,84.82406629148497,73,0.43,Low,Day,41,1,12.728,74,22885.5
76,M21573,M,302.2,312.9,1321,31.2,150,0,0,0,0,0,0,10.699999999999989,4680.0,300.87,311.01,35.52,101.4,29.6,74.0,0.3999999999999772,-0.6000000000000227,1.599999999999998,76.0,1.9894443668743087,2.402521823233002,6.008845331860527,73.76870760845846,90,0.75,Medium,Night,152,2,23.4,300,28160.999999999996
77,M31409,M,298.7,308.3,1659,29.9,106,0,0,0,0,0,0,9.600000000000025,3169.4,300.46,310.73,34.87,111.3,31.2,150.0,-3.5,-4.599999999999966,-1.3000000000000007,-44.0,1.9698843733690368,2.549531547384903,6.249808885966909,65.91754108143171,37,0.45,Medium,Night,153,2,13.455,212,11407.1
78,L95970,L,301.6,312.8,1762,44.4,242,0,0,0,0,0,0,11.199999999999989,10744.8,300.62,311.03,36.05,115.5,29.9,106.0,2.900000000000034,4.5,14.5,136.0,1.9932106985685063,2.60386464915341,6.857963740547662,73.1395166027839,76,0.49,Low,Night,105,1,21.756,242,23772.8
79,L34464,L,303.9,312.8,1594,61.1,114,0,0,0,0,0,0,8.900000000000034,6965.400000000001,301.35,311.5,37.75,107.0,44.4,242.0,2.2999999999999545,0.0,16.700000000000003,-128.0,1.6674997917704673,2.434930982366544,10.312263465300797,67.04227521994375,64,0.66,High,Night,106,3,40.326,342,20019.2
80,L52840,L,298.6,309.7,1625,34.8,42,0,0,0,0,0,0,11.099999999999966,1461.6,301.14,311.41,37.75,107.5,61.1,114.0,-5.2999999999999545,-3.1000000000000227,-26.300000000000004,-72.0,1.8774687451161185,2.4879487311615853,10.312263465300797,66.47848440577526,43,0.71,Medium,Day,44,2,24.708,84,13317.1
